conferenceID,conferenceRef,name,year,edition,conProIds,proceedingTitle
c50,306669.0,"20th International Conference on Services Computing, SCC 2023 held as Part of the Services Conference Federation, SCF 2023",2023.0,1.0,cp50,proceeding50
c51,306519.0,"18th CCF Conference on Computer Supported Cooperative Work and Social Computing, ChineseCSCW 2023",2023.0,1.0,cp51,proceeding51
c52,196233.0,"12th Global Conference on Materials Science and Engineering, CMSE 2023",2023.0,1.0,cp52,proceeding52
c53,306209.0,"56th International Conference on Asia Pacific Advanced Network, APANConf 2023",2023.0,1.0,cp53,proceeding53
c54,306019.0,"40th Computer Graphics International Conference, CGI 2023",2023.0,1.0,cp54,proceeding54
c55,306409.0,"8th Purple Mountain Forum on Smart Grid Protection and Control, PMF 2023",2023.0,1.0,cp55,proceeding55
c56,305189.0,"2nd International Conference on Advances in Information and Communication Technology, ICTA 2023",2023.0,1.0,cp56,proceeding56
c57,304439.0,"30th International Conference on Neural Information Processing, ICONIP 2023",2023.0,1.0,cp57,proceeding57
c58,306309.0,"26th International Conference series on Climbing and Walking Robots and the Support Technologies for Mobile Machines, CLAWAR 2023",2023.0,1.0,cp58,proceeding58
c59,305619.0,"9th Latin American Congress on Biomedical Engineering, CLAIB 2022 and 28th Brazilian Congress on Biomedical Engineering, CBEB 2022",2022.0,1.0,cp59,proceeding59
c60,306139.0,"7th International Congress and Workshop on Industrial AI and eMaintenance, IAI 2023",2023.0,1.0,cp60,proceeding60
c61,306289.0,"13th International Conference on Computer Engineering and Networks, CENet 2023",2023.0,1.0,cp61,proceeding61
c62,306009.0,"6th Chinese Conference on Pattern Recognition and Computer Vision, PRCV 2023",2023.0,1.0,cp62,proceeding62
c63,305869.0,"6th China Aeronautical Science and Technology Conference, CASTC 2023",2023.0,1.0,cp63,proceeding63
c64,305419.0,"16th Annual International Conference on Combinatorial Optimization and Applications, COCOA 2023",2023.0,1.0,cp64,proceeding64
c65,305839.0,"16th International Conference on Verification and Evaluation of Computer and Communication Systems, VECoS 2023",2023.0,1.0,cp65,proceeding65
c66,305169.0,"25th International Conference on Human-Computer Interaction, HCII 2023",2023.0,1.0,cp66,proceeding66
c67,305299.0,"38th CCF National Conference of Computer Applications, CCF NCCA 2023",2023.0,1.0,cp67,proceeding67
c68,305739.0,"1st International Conference on Artificial Intelligence of Things, ICAIoT 2023",2023.0,1.0,cp68,proceeding68
c69,305679.0,"International Conference on Water Reactor Fuel Performance Meeting, WRFPM 2023",2023.0,1.0,cp69,proceeding69
c70,305219.0,"2nd International Conference on Big Data, Machine Learning, and Applications, BigDML 2021",2021.0,1.0,cp70,proceeding70
c71,305579.0,"8th International Conference on Emerging Research in Computing, Information, Communication and Applications, ERCICA 2023",2023.0,1.0,cp71,proceeding71
c72,305519.0,"9th International Symposium on Dependable Software Engineering: Theories, Tools and Applications, SETTA 2023",2023.0,1.0,cp72,proceeding72
c73,304959.0,"3rd International Conference on Micro and Nanoelectronics Devices, Circuits and Systems, MNDCS 2023",2023.0,1.0,cp73,proceeding73
c74,305899.0,"3rd International Conference on Advanced Research in Technologies, Information, Innovation and Sustainability, ARTIIS 2023",2023.0,1.0,cp74,proceeding74
c75,304869.0,"4th International Conference on IoT Based Control Networks and Intelligent Systems, ICICNIS 2023",2023.0,1.0,cp75,proceeding75
c76,304859.0,"36th Australasian Joint Conference on Artificial Intelligence, AJCAI 2023",2023.0,1.0,cp76,proceeding76
c77,303919.0,"8th International Conference on Cognitive Systems and Information Processing, ICCSIP 2023",2023.0,1.0,cp77,proceeding77
c78,303779.0,"14th China Satellite Navigation Conference, CSNC 2024",2024.0,1.0,cp78,proceeding78
c79,303759.0,"20th Pacific Rim International Conference on Artificial Intelligence, PRICAI 2023",2023.0,1.0,cp79,proceeding79
c80,303879.0,"16th International Federation of Theory of Machines and Mechanisms World Congress, IFToMM WC 2023",2023.0,1.0,cp80,proceeding80
c81,304389.0,"11th Chinese National Conference on Social Media Processing, SMP 2023",2023.0,1.0,cp81,proceeding81
c82,303829.0,"1st International Conference on AI-generated Content, AIGC 2023",2023.0,1.0,cp82,proceeding82
c83,304089.0,"8th International Workshop on Advanced Computational Intelligence and Intelligent Informatics, IWACIII 2023",2023.0,1.0,cp83,proceeding83
c84,299999.0,"19th International Conference on Computing in Civil and Building Engineering, ICCCBE 2022",2022.0,1.0,cp84,proceeding84
