year,proceedingID,proceedingTitle,name
2023.0,cp99,proceeding99,"2023 8th International Conference on Advances in Energy and Environment Research and Clean Energy and Energy Storage Technology Forum, ICAEER 2023 and CEEST 2023"
2023.0,cp100,proceeding100,"3rd International Meeting for Applied Geoscience and Energy, IMAGE 2023"
2023.0,cp101,proceeding101,"2023 SIGGRAPH Asia 2023 Conference Papers, SA 2023"
2023.0,cp102,proceeding102,"2023 SIGGRAPH Asia 2023 Art Papers, SA 2023"
2023.0,cp103,proceeding103,"2023 Rudenko International Conference on Methodological Problems in Reliability Study of Large Energy Systems, RSES 2023"
2022.0,cp104,proceeding104,"27th European Cosmic Ray Symposium, ECRS 2022"
2023.0,cp105,proceeding105,"12th International Symposium on Information and Communication Technology, SOICT 2023"
2023.0,cp106,proceeding106,"5th ACM International Conference on Multimedia in Asia, MMAsia 2023 Workshops"
2022.0,cp107,proceeding107,"1st International Conference on Applied Data Science and Smart Systems, ADSSS 2022"
2023.0,cp108,proceeding108,"5th ACM International Conference on Multimedia in Asia, MMAsia 2023"
2023.0,cp109,proceeding109,"11th Conference on Human-Agent Interaction, HAI 2023"
2021.0,cp110,proceeding110,"4th Tarumanagara International Conference of the Applications of Technology and Engineering, TICATE 2021"
2023.0,cp111,proceeding111,"39th Annual Computer Security Applications Conference, ACSAC 2023"
2023.0,cp112,proceeding112,"8th International Technical Conference on Frontiers of Hydraulic and Civil Engineering Technology, HCET 2023"
2023.0,cp113,proceeding113,"18th International Symposium on Parameterized and Exact Computation, IPEC 2023"
2023.0,cp114,proceeding114,"34th International Symposium on Algorithms and Computation, ISAAC 2023"
2023.0,cp115,proceeding115,"31st ACM Joint Meeting European Software Engineering Conference and Symposium on the Foundations of Software Engineering, ESEC/FSE 2023"
2023.0,cp116,proceeding116,"2023 SIGGRAPH Asia 2023 Technical Communications, SA Technical Communications 2023"
2023.0,cp117,proceeding117,"22nd ACM Workshop on Hot Topics in Networks, HotNets 2023"
2023.0,cp118,proceeding118,"3rd International Conference on Artificial Intelligence, Big Data and Algorithms, CAIBDA 2023"
2023.0,cp119,proceeding119,"2023 Workshop on Decentralized Finance and Security, DeFi 2023"
2023.0,cp120,proceeding120,"11th International ACM SIGIR Conference on Research and Development in Information Retrieval in the Asia Pacific Region, SIGIR-AP 2023"
2022.0,cp121,proceeding121,"1st International Conference on Contemporary Innovations in Mechanical Engineering, CIME 2022"
2021.0,cp122,proceeding122,"2021 International Conference on Emerging Trends in Materials, Computing and Communication Technologies, ICETMCCT 2021"
2023.0,cp123,proceeding123,"10th ACM Workshop on Moving Target Defense, MTD 2023"
2023.0,cp124,proceeding124,"30th ACM SIGSAC Conference on Computer and Communications Security, CCS 2023"
2023.0,cp125,proceeding125,"2023 International Conference on Electronics, Computers and Communication Technology, CECCT 2023"
2023.0,cp126,proceeding126,"31st ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems, ACM SIGSPATIAL GIS 2023"
2023.0,cp127,proceeding127,"2023 International Conference for High Performance Computing, Networking, Storage and Analysis, SC 2023"
2022.0,cp128,proceeding128,"International Conference on Engineering Research and Application 2022, ICERA 2022"
2023.0,cp129,proceeding129,"6th ACM SIGSPATIAL International Workshop on AI for Geographic Knowledge Discovery, GeoAI 2023"
2023.0,cp130,proceeding130,"8th ACM SIGSPATIAL International Workshop on Security Response using GIS, EM-GIS 2023"
2021.0,cp131,proceeding131,"4th International Conference on Material Science and Applications, ICMSA 2021"
2023.0,cp132,proceeding132,"2023 International Conference on High Performance Computing, Network, Storage, and Analysis, SC Workshops 2023"
2023.0,cp133,proceeding133,"1st ACM SIGSPATIAL International Workshop on Sustainable Mobility, SuMob 2023"
2023.0,cp134,proceeding134,"4th Multimodal Sentiment Analysis Challenge and Workshop, MuSe 2023, In conjunction with ACM Multimedia 2023"
2023.0,cp135,proceeding135,"1st Workshop on Large Generative Models Meet Multimodal Applications, LGM3A 2023"
2023.0,cp136,proceeding136,"2023 International Conference on Clean Energy and Low Carbon Technologies, CELCT 2023"
2022.0,cp137,proceeding137,"2022 International Conference on Recent Advances in Industry 4.0 Technologies, ICRAIT 2022"
2022.0,cp138,proceeding138,"1st 2022 International Conference on Sustainable Environment, Development, and Energy,CONSER 2022"
2022.0,cp139,proceeding139,"9th International Conference on Actual Problems of Engineering Mechanics, APEM 2022"
2023.0,cp140,proceeding140,"31st ACM International Conference on Multimedia, MM 2023"
2023.0,cp141,proceeding141,"36th Annual ACM Symposium on User Interface Software and Technology, UIST 2023"
2023.0,cp142,proceeding142,"56th Annual IEEE/ACM International Symposium on Microarchitecture, MICRO 2023"
2023.0,cp143,proceeding143,"SAE 2023 Energy and Propulsion Conference and Exhibition (formerly called Powertrains, Fuels and Lubricants Conference and Exhibition), FFL 2023"
2023.0,cp144,proceeding144,"2023 8th International Conference on Ecological Building and Green Building Material, EBGBM 2023"
2023.0,cp145,proceeding145,"36th Annual ACM Symposium on User Interface Software and Technology, UIST 2023"
2023.0,cp146,proceeding146,"SAE 2023 Vehicle Powertrain Diversification Technology Forum, VEPD 2023"
2023.0,cp147,proceeding147,"2nd International Conference on Digitalization and Management Innovation: Build a New Ecology of Lifelong Education, DMI 2023"
2023.0,cp148,proceeding148,"29th ACM Symposium on Operating Systems Principles, SOSP 2023"
2023.0,cp149,proceeding149,"2023 International Symposium on Theory, Algorithmic Foundations, and Protocol Design for Mobile Networks and Mobile Computing, MobiHoc 2023"
2023.0,cp150,proceeding150,"23rd Edition of the ACM Internet Measurement Conference, IMC 2023"
2023.0,cp151,proceeding151,"4th International Conference on Air Pollution and Environmental Engineering, APEE 2023"
2023.0,cp152,proceeding152,"7th International Conference on Computer Science and Application Engineering, CSAE 2023"
2023.0,cp153,proceeding153,"32nd ACM International Conference on Information and Knowledge Management, CIKM 2023"
2023.0,cp154,proceeding154,"9th International Conference on Advances in Machinery, Materials Science and Engineering Applications, MMSE 2023"
2023.0,cp155,proceeding155,5th International Conference on Big-data Service and Intelligent Computation
2023.0,cp156,proceeding156,"11th International Scientific and Practical Conference on Innovative Technologies in Environmental Science and Education, ITSE 2023"
2023.0,cp157,proceeding157,"2023 ACM Symposium on Spatial User Interaction, SUI 2023"
2023.0,cp158,proceeding158,"4th International Conference on Green Energy, Environment and Sustainable Development, GEESD 2023"
2023.0,cp159,proceeding159,"2023 ACM International Joint Conference on Pervasive and Ubiquitous Computing and the 2023 ACM International Symposium on Wearable Computing, UbiComp/ISWC 2023"
2023.0,cp160,proceeding160,"15th International Conference on Materials Processing and Characterization, ICMPC 2023"
2023.0,cp161,proceeding161,"2023 Workshop on LEO Networking and Communication, LEO-NET 2023"
2023.0,cp162,proceeding162,"19th AAAI Conference on Artificial Intelligence and Interactive Digital Entertainment, AIIDE 2023"
2022.0,cp163,proceeding163,"2nd International Symposium on Civil, Environmental, and Infrastructure Engineering, ISCEIE 2022"
2023.0,cp164,proceeding164,"25th International Conference on Multimodal Interaction, ICMI 2023"
2023.0,cp165,proceeding165,"25th International Conference on Multimodal Interaction, ICMI 2023 Companion"
2022.0,cp166,proceeding166,"1st International Conference on Advances in Communications, Computing and Electronic Systems, ACCES 2022"
2023.0,cp167,proceeding167,"26th European Conference on Artificial Intelligence, ECAI 2023"
2022.0,cp168,proceeding168,Young Transportation Engineers Conference 2022
2022.0,cp169,proceeding169,"2022 International Conference on Innovations in Science, Hybrid Materials, and Vibration Analysis, IC-ISHVA 2022"
2023.0,cp170,proceeding170,"8th International Conference on Cyber Security and Information Engineering, ICCSIE 2023"
2023.0,cp171,proceeding171,"5th World Symposium on Software Engineering, WSSE 2023"
2023.0,cp172,proceeding172,"37th Brazilian Symposium on Software Engineering, SBES 2023, held in conjunction with the Brazilian Conference on Software: Theory and Practice, CBSoft 2023"
2023.0,cp173,proceeding173,"15th International Conference on Education Technology and Computers, ICETC 2023"
2023.0,cp174,proceeding174,"2023 International Conference on Power, Communication, Computing and Networking Technologies, PCCNT 2023"
2023.0,cp175,proceeding175,"9th International Conference on Industrial and Business Engineering, ICIBE 2023"
2023.0,cp176,proceeding176,"16th International Symposium on Visual Information Communication and Interaction, VINCI 2023"
2023.0,cp177,proceeding177,"2023 ACM Recommender Systems Challenge Workshop, RecSysChallenge 2023, held at 17th ACM Conference on Recommender Systems, ACM RecSys 2023"
2023.0,cp178,proceeding178,"2nd International Conference on New Materials, Machinery, and Vehicle Engineering, NMMVE 2023"
2023.0,cp179,proceeding179,"15th Biannual Conference of the Italian SIGCHI Chapter: Crossing HCI and AI, CHItaly 2023"
2022.0,cp180,proceeding180,"2022 International Conference on Advanced Technologies in Chemical, Construction and Mechanical Sciences, iCATCHCOME 2022"
2023.0,cp181,proceeding181,"17th ACM Conference on Recommender Systems, RecSys 2023"
2023.0,cp182,proceeding182,ACM SIGCOMM 2023 Conference
2023.0,cp183,proceeding183,"1st Workshop on eBPF and Kernel Extensions, eBPF 2023"
2023.0,cp184,proceeding184,"2023 Workshop on Emerging Multimedia Systems, EMS 2023"
2023.0,cp185,proceeding185,"31st Annual European Symposium on Algorithms, ESA 2023"
2023.0,cp186,proceeding186,"26th International Conference on Approximation Algorithms for Combinatorial Optimization Problems, APPROX 2023 and the 27th International Conference on Randomization and Computation, RANDOM 2023"
2023.0,cp187,proceeding187,"27th ACM International Systems and Software Product Line Conference, SPLC 2023"
2023.0,cp188,proceeding188,"18th International Conference on Availability, Reliability and Security, ARES 2023"
2023.0,cp189,proceeding189,"2023 International Conference on Computer, Vision and Intelligent Technology, ICCVIT 2023"
2023.0,cp190,proceeding190,"2023 4th International Conference on Control, Robotics and Intelligent System, CCRIS 2023"
2023.0,cp191,proceeding191,"14th ACM SIGOPS Asia-Pacific Workshop on Systems, APSys 2023"
2023.0,cp192,proceeding192,"8th International Conference on Debris Flow Hazard Mitigation, DFHM 2023"
2023.0,cp193,proceeding193,"3rd International Conference on Oil and Gas Engineering and Geological Sciences, OGEGS 2023"
2023.0,cp194,proceeding194,"29th ACM SIGKDD Conference on Knowledge Discovery and Data Mining, KDD 2023"
2023.0,cp195,proceeding195,"52nd International Conference on Parallel Processing, ICPP 2023"
2022.0,cp196,proceeding196,"5th International Conference on Applied Category Theory, ACT 2022"
2023.0,cp197,proceeding197,"52nd International Conference on Parallel Processing, ICPP 2023 - Workshops Proceedings"
2023.0,cp198,proceeding198,"15th International Conference on Contemporary Computing, IC3 2023"
2023.0,cp199,proceeding199,"14th Asia-Pacific Symposium on Internetware, Internetware 2023"
2023.0,cp200,proceeding200,"2023 International Conference on Neuromorphic Systems, ICONS 2023"
2023.0,cp201,proceeding201,"48th International Symposium on Mathematical Foundations of Computer Science, MFCS 2023"
2023.0,cp202,proceeding202,"4th International Computer Programming Education Conference, ICPEC 2023"
2023.0,cp203,proceeding203,"2023 ACM Turing Award Celebration Conference, CHINA 2023"
2023.0,cp204,proceeding204,"9th International Conference on Energy Materials and Environment Engineering, ICEMEE 2023"
2023.0,cp205,proceeding205,"10th International Conference on Industrial Engineering and Applications, ICIEA 2023"
2023.0,cp206,proceeding206,"2023 Innovative Solutions for the Development of the Industry, Agro-Bio-Technologies 2023"
2023.0,cp207,proceeding207,"Special Interest Group on Computer Graphics and Interactive Techniques Conference - Courses, SIGGRAPH 2023"
2023.0,cp208,proceeding208,"2023 Special Interest Group on Computer Graphics and Interactive Techniques Conference, SIGGRAPH 2023"
2023.0,cp209,proceeding209,"2023 International Conference on Robotics, Control and Vision Engineering, RCVE 2023"
2023.0,cp210,proceeding210,"4th International Conference on Modern Management Based on Big Data, MMBD 2023"
2023.0,cp211,proceeding211,"Special Interest Group on Computer Graphics and Interactive Techniques Conference - Posters, SIGGRAPH 2023"
2021.0,cp212,proceeding212,"12th International Meeting on Advances in Thermofluids, IMAT 2021"
2023.0,cp213,proceeding213,"2023 International Scientific Siberian Transport Forum, TransSiberia 2023"
2023.0,cp214,proceeding214,"46th International ACM SIGIR Conference on Research and Development in Information Retrieval, SIGIR 2023"
2023.0,cp215,proceeding215,"2023 ACM Workshop on Highlights of Parallel Computing, HOPC 2023"
2023.0,cp216,proceeding216,"6th International Conference on Signal Processing and Machine Learning, SPML 2023"
2023.0,cp217,proceeding217,"2023 ACM Designing Interactive Systems Conference, DIS 2023 Companion"
2023.0,cp218,proceeding218,"32nd ACM SIGSOFT International Symposium on Software Testing and Analysis, ISSTA 2023"
2023.0,cp219,proceeding219,"24th Annual International Conference on Digital Government Research - Together in the Unstable World: Digital Government and Solidarity, DGO 2023"
2023.0,cp220,proceeding220,"3rd International Conference on Robotics and Artificial Intelligence, JCRAI 2023"
2023.0,cp221,proceeding221,"16th ACM International Conference on PErvasive Technologies Related to Assistive Environments, PETRA 2023"
2022.0,cp222,proceeding222,"2nd International Conference on Advances in Communication Technology and Computer Engineering, ICACTCE 2022"
2023.0,cp223,proceeding223,"24th ACM Conference on Economics and Computation, EC 2023"
2023.0,cp224,proceeding224,"18th ACM ASIA Conference on Computer and Communications Security, ASIA CCS 2023"
2023.0,cp225,proceeding225,"29th Annual International Conference on Mobile Computing and Networking, MobiCom 2023"
2023.0,cp226,proceeding226,22nd IFAC World Congress
2023.0,cp227,proceeding227,"50th International Colloquium on Automata, Languages, and Programming, ICALP 2023"
2023.0,cp228,proceeding228,"38th Computational Complexity Conference, CCC 2023"
