authorID,authorRef,Name
a299,57219896604,Tiedje J.M.
a300,35235999300,Zhou J.
a301,58296394800,Zhang Z.
a302,57848060400,Li H.
a303,55868927400,Shao Y.
a304,57210810612,Gan L.
a305,7102917741,Duan W.
a306,24316829300,Hansen H.A.
a307,55983812400,Li J.
a308,57207120749,Wang Z.
a309,58734322900,Dong X.
a310,57734321100,Li X.-F.
a311,57195549910,Feng Y.
a312,58838408700,Li S.
a313,36159753900,Tang W.
a314,56430045300,Wang Z.L.
a315,57220920203,Yan X.
a316,57999404000,Au S.C.Y.
a317,57999404100,Chan S.C.
a318,58000281300,Chan Y.L.
a319,57999848300,Leung N.C.
a320,58000281400,Wu W.Y.
a321,57226356981,Sin D.T.
a322,57201947856,Zhao G.
a323,57211069924,Chung C.H.Y.
a324,58831087900,Mei M.
a325,57209286743,Yang Y.
a326,55633099800,Qiu H.
a327,38562572400,Yao S.
a328,58899429800,Hu X.
a329,57225365111,Suo J.
a330,58154430800,Kou N.
a331,58899561200,Wu M.
a332,58899172000,Wang S.
a333,58858727700,Jiang P.
a334,58858135700,Zhang L.
a335,58858727800,Liu X.
a336,56647432000,Ye C.
a337,58858533900,Zhu P.
a338,57225922811,Tan T.
a339,36180472900,Wang Y.
a340,55712216100,Liu Q.
a341,57562221500,Sun J.
a342,58805942500,Zhang Y.
a343,55717309800,Liu X.
a344,57481804700,Yang F.
a345,57218326495,Zhao Z.
a346,57482278200,Zhang D.
a347,58906034800,Xiong Y.
a348,54410436900,Dong X.
a349,58906558400,Wang Y.
a350,58730882700,Yang M.
a351,57219713620,Pan T.
a352,57204714203,Liu C.
a353,57219835049,Liu K.
a354,37052507100,Lin Y.
a355,57215863284,Liu Y.
a356,49762300500,Tu Q.
a357,58905518000,Dang Y.
a358,58600181400,Xia M.
a359,55668062400,Mi D.
a360,58837346900,Zhou W.
a361,55628005800,Xu Z.
a362,58906156200,Cheng Y.
a363,57225122244,Zhang J.
a364,57210195191,Zhou T.
a365,57796798300,Wang Y.
a366,57800755300,Xu Z.
a367,58905638200,Yuan X.
a368,35098511100,Fang L.
a369,57194063523,Xu H.
a370,57886339200,Jiang W.
a371,57887038000,Li X.
a372,58818036900,Jiang J.
a373,57189388586,Afridi S.K.
a374,58817941500,Deng L.
a375,57007416400,Li R.
a376,58817941700,Luo E.
a377,58818132000,Zhang Z.
a378,57192987703,Huang Y.-W.A.
a379,57211982410,Cui Y.
a380,34668391300,So K.-F.
a381,57885873600,Chen H.
a382,57203463286,Qiu W.
a383,57191159266,Tang C.
a384,57903509800,Liu A.
a385,58511529000,Zhang X.
a386,58618421700,Liu Z.
a387,57208500426,Li Y.
a388,57984354200,Peng X.
